data_kind,size,n_ms_introsort, n_ms_quick_sort
sorted,2800,317458,202500
sorted,2900,82541,208291
sorted,3000,89084,216833
sorted,3100,91416,230792
sorted,3200,90500,233083
sorted,3300,99792,238417
sorted,3400,100000,246167
sorted,3500,115500,257000
sorted,3600,106167,259916
sorted,3700,107917,272750
sorted,3800,113083,275000
sorted,3900,115125,291500
sorted,4000,117583,287667
sorted,4100,124958,301500
sorted,4200,123292,307084
sorted,4300,128833,317000
sorted,4400,134875,320292
sorted,4500,133166,351916
sorted,4600,147583,339458
sorted,4700,147750,339625
sorted,4800,149083,344167
sorted,4900,156834,358541
sorted,5000,156833,361167
sorted,5100,154083,376375
sorted,5200,165167,378625
sorted,5300,151583,395292
sorted,5400,153916,405625
sorted,5500,179958,416375
sorted,5600,164917,430292
sorted,5700,158542,426125
sorted,5800,166792,434000
sorted,5900,165750,437750
sorted,6000,172000,447375
sorted,6100,172791,447500
sorted,6200,175125,466584
sorted,6300,175584,461709
sorted,6400,177750,482375
sorted,6500,187916,484167
sorted,6600,184708,498459
sorted,6700,186167,486584
sorted,6800,187791,493958
sorted,6900,203083,514125
sorted,7000,191417,510334
sorted,7100,229292,533875
sorted,7200,245042,552750
sorted,7300,256708,541333
sorted,7400,240541,546791
sorted,7500,259417,553834
sorted,7600,240167,557792
sorted,7700,274542,574541
sorted,7800,250916,587416
sorted,7900,256125,569916
sorted,8000,253542,604375
sorted,8100,276042,601750
sorted,8200,276917,603792
sorted,8300,282250,611625
sorted,8400,266834,629708
sorted,8500,283833,634417
sorted,8600,273958,663791
sorted,8700,272166,663875
sorted,8800,289375,683167
sorted,8900,302500,679334
sorted,9000,296416,677708
sorted,9100,342166,677791
sorted,9200,292875,688334
sorted,9300,314709,701458
sorted,9400,327000,727458
sorted,9500,373542,762875
sorted,9600,340875,745167
sorted,9700,334125,729334
sorted,9800,360333,834500
sorted,9900,341208,734750
